,dataset,size,nb_clusters,sparsity,non_zero_skew,non_zero_kurosis,max_value,non_zero_mean,non_zero_median,dropout_rate,cluster_sizes
0,data_1c1,3000 x 2500,1,0.45493106666666666,5.750588655945627,49.8883227246847,2846,41.92473661435361,13.0,[0.29859897],"(3000,)"
1,data_-0.5c1,3000 x 2500,1,0.3134905333333333,6.411906159568502,61.89361159436392,2846,34.87378236687584,10.0,[0.11659165],"(3000,)"
2,data_0c1,3000 x 2500,1,0.3506901333333333,6.246508725104451,58.766028373648545,2846,36.49919340000788,11.0,[0.16446053],"(3000,)"
3,data_-1c1,3000 x 2500,1,0.28551346666666666,6.534998370890113,64.2787087202561,2846,33.73211699441408,10.0,[0.08059044],"(3000,)"
4,data_0.5c1,3000 x 2500,1,0.39792493333333334,6.027708354365846,54.75564835634614,2846,38.77398587950162,12.0,[0.22524282],"(3000,)"
5,data_-0.5c0.9,3000 x 2500,4,0.31369146666666664,6.458197524099942,62.996495309332275,3032,34.89175092096577,10.0,[0.11671776],"(2688, 273, 35, 4)"
6,data_0c0.9,3000 x 2500,4,0.35091506666666666,6.288062899671317,59.70351676257155,3032,36.51878716642527,11.0,[0.16462471],"(2688, 273, 35, 4)"
7,data_-1c0.9,3000 x 2500,4,0.2855241333333333,6.58205947431765,65.4162829919981,3032,33.74529468595067,10.0,[0.08046627],"(2688, 273, 35, 4)"
8,data_1c0.9,3000 x 2500,4,0.4550568,5.7938853644655754,50.8098226330916,3032,41.93899058348344,13.0,[0.29865559],"(2688, 273, 35, 4)"
9,data_0.5c0.9,3000 x 2500,4,0.39828933333333333,6.0698745246853365,55.707648950165215,3032,38.81342727290858,12.0,[0.2255956],"(2688, 273, 35, 4)"
10,data_1c0.8,3000 x 2500,5,0.45522626666666666,5.812849682449006,51.199475514099106,2802,41.96712372084508,13.0,[0.29878562],"(2388, 486, 94, 26, 6)"
11,data_1c0.7,3000 x 2500,5,0.45549253333333334,5.830141091587478,51.40028974502912,2935,42.003282232309765,13.0,[0.29911355],"(2090, 644, 185, 59, 22)"
12,data_1c0.6,3000 x 2500,5,0.45571493333333335,5.857427842737712,51.777016804160844,2654,42.01221908715482,13.0,[0.29915758],"(1781, 754, 291, 120, 54)"
13,data_0c0.8,3000 x 2500,5,0.35114653333333334,6.308907682239203,60.211818489045015,2802,36.54319547443789,11.0,[0.1648177],"(2388, 486, 94, 26, 6)"
14,data_0c0.7,3000 x 2500,5,0.3513032,6.333321836600963,60.57520892792858,2935,36.557120059787565,11.0,[0.16500172],"(2090, 644, 185, 59, 22)"
15,data_-0.5c0.6,3000 x 2500,5,0.3142742666666667,6.529953443870828,64.2301323018563,2654,34.931115705540584,10.0,[0.11703312],"(1781, 754, 291, 120, 54)"
16,data_0.5c0.7,3000 x 2500,5,0.3983061333333333,6.1123640408245885,56.45584137744388,2935,38.83520301796883,12.0,[0.22550359],"(2090, 644, 185, 59, 22)"
17,data_0.5c0.6,3000 x 2500,5,0.39888266666666666,6.137333937951465,56.79922583985922,2654,38.85977601710592,12.0,[0.22597816],"(1781, 754, 291, 120, 54)"
18,data_-1c0.8,3000 x 2500,5,0.2856858666666667,6.602337668294345,65.89127569735564,2802,33.76014884954444,10.0,[0.08055893],"(2388, 486, 94, 26, 6)"
19,data_-1c0.7,3000 x 2500,5,0.2857829333333333,6.626617469816551,66.26364029961631,2935,33.77115061938219,10.0,[0.08066447],"(2090, 644, 185, 59, 22)"
20,data_-1c0.6,3000 x 2500,5,0.28607466666666664,6.655346301348548,66.70822853233338,2654,33.77463917795325,10.0,[0.08072223],"(1781, 754, 291, 120, 54)"
21,data_-0.5c0.8,3000 x 2500,5,0.3138841333333333,6.478587534843172,63.46183003014487,2802,34.910466240007274,10.0,[0.11685479],"(2388, 486, 94, 26, 6)"
22,data_-0.5c0.7,3000 x 2500,5,0.3140684,6.502732612374473,63.82990877827696,2935,34.92321158552835,10.0,[0.11707333],"(2090, 644, 185, 59, 22)"
23,data_0c0.6,3000 x 2500,5,0.3517248,6.359154655503179,60.942855915027685,2654,36.5755068217942,11.0,[0.16525587],"(1781, 754, 291, 120, 54)"
24,data_0.5c0.8,3000 x 2500,5,0.398464,6.08833433715729,56.11480929211083,2802,38.83170239741816,12.0,[0.22572314],"(2388, 486, 94, 26, 6)"
